"altersunterschied","iq","konsumierte_bierglaeser","aufenthaltsdauer","haarfarbe","hat_Freundin","ergebnis"
-7,91,2,69.5713605824858,"schwarz",TRUE,"Erfolg"
2,92,4,126.857376415282,"schwarz",TRUE,"Erfolg"
1,106,6,151.494799777865,"braun",TRUE,"Korb"
2,105,0,0,"braun",TRUE,"Erfolg"
-1,71,5,165.318454382941,"rot",FALSE,"Korb"
-1,70,3,73.3152186172083,"blond",FALSE,"Korb"
-4,73,6,205.223444569856,"rot",TRUE,"Korb"
-2,85,5,139.268386503682,"rot",TRUE,"Korb"
0,98,2,44.6013549622148,"braun",FALSE,"Erfolg"
-6,71,3,68.8711277162656,"braun",TRUE,"Korb"
-4,80,0,0,"schwarz",FALSE,"Erfolg"
-5,103,0,0,"rot",FALSE,"Erfolg"
1,79,0,0,"rot",FALSE,"Korb"
-6,71,5,148.818602925166,"schwarz",TRUE,"Korb"
-2,96,1,35.5314629338682,"rot",FALSE,"Korb"
-1,81,3,84.7436187369749,"rot",TRUE,"Korb"
7,87,5,162.934314017184,"schwarz",FALSE,"Korb"
0,98,2,66.1934767570347,"braun",TRUE,"Erfolg"
-2,108,4,86.2816237471998,"braun",FALSE,"Korb"
-2,98,2,40.1155969221145,"schwarz",TRUE,"Erfolg"
3,83,3,66.4067177055404,"braun",FALSE,"Korb"
-4,71,1,38.6768815200776,"schwarz",TRUE,"Erfolg"
-2,79,3,89.9837708473206,"blond",TRUE,"Korb"
-2,79,2,65.7020403444767,"blond",TRUE,"Korb"
-5,91,3,103.160980311222,"schwarz",TRUE,"Korb"
-1,71,1,35.8230423554778,"rot",FALSE,"Erfolg"
2,88,0,0,"schwarz",TRUE,"Erfolg"
-4,102,4,136.435786616057,"schwarz",TRUE,"Korb"
-3,88,6,182.330044778064,"rot",FALSE,"Korb"
-1,80,7,251.215526214801,"rot",FALSE,"Korb"
-1,70,4,103.936304356903,"blond",FALSE,"Korb"
-2,77,6,150.984245985746,"rot",FALSE,"Korb"
-2,97,1,20.8457513106987,"schwarz",FALSE,"Erfolg"
-5,83,5,170.471462258138,"rot",TRUE,"Korb"
1,94,2,49.5793756376952,"blond",FALSE,"Korb"
2,103,1,29.552963078022,"blond",TRUE,"Erfolg"
0,78,3,103.619070891291,"blond",TRUE,"Korb"
2,82,2,48.0416461266577,"schwarz",FALSE,"Korb"
0,95,2,45.9596584923565,"braun",FALSE,"Erfolg"
-1,84,0,0,"braun",FALSE,"Korb"
2,96,0,0,"braun",TRUE,"Erfolg"
3,74,0,0,"schwarz",FALSE,"Erfolg"
-6,76,3,107.111807581969,"rot",FALSE,"Korb"
-2,72,7,174.538683351129,"rot",FALSE,"Korb"
2,108,6,183.467857567593,"rot",FALSE,"Korb"
7,85,1,30.9237777115777,"schwarz",TRUE,"Korb"
2,103,0,0,"braun",FALSE,"Erfolg"
